Qty	Value	Device	Package	Parts	Description	PROD_ID	VALUE	Digikey
8		SW_DIP-2	DIPSWITCH-02	"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8"	DIP SWITCH			GH7200-ND
1		SW_DIP-8	DIPSWITCH-08	SW9	DIP Switch 8 Position			GH7212-ND
2	.1uF	C-USC0603	C0603	"C1, C2"	"CAPACITOR, American symbol"			
16	.1uF	CAP0603-CAP	0603-CAP	"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20"	Capacitor			
2	1.6k	RESISTOR0603	0603-RES	"R58, R59"	Resistor			
2	1.8k	RESISTOR0603	0603-RES	"R57, R60"	Resistor			
1	10V	LM2937	SOT223	P10V				
2	10uF	C-USC1206	C1206	"C3, C4"	"CAPACITOR, American symbol"			
8	110k	RESISTOR0603	0603-RES	"R5, R12, R19, R26, R33, R40, R47, R54"	Resistor			
24	1k	RESISTOR0603	0603-RES	"R1, R2, R4, R8, R10, R11, R15, R17, R18, R22, R24, R25, R29, R31, R32, R36, R38, R39, R43, R45, R46, R50, R52, R53"	Resistor			
8	20	3296Y	"3926_Y,Z"	"TRIM_1, TRIM_2, TRIM_3, TRIM_4, TRIM_5, TRIM_6, TRIM_7, TRIM_8"	Trimpot			
8	345	RESISTOR0603	0603-RES	"R3, R9, R16, R23, R30, R37, R44, R51"	Resistor			
10	4.7k	RESISTOR0603	0603-RES	"R61, R62, R64, R74, R75, R76, R77, R78, R79, R80"	Resistor			
1	430	RESISTOR0603	0603-RES	R63	Resistor			
1	5V	LM2937	SOT223	P5V				
8	62k	RESISTOR0603	0603-RES	"R6, R13, R20, R27, R34, R41, R48, R55"	Resistor			
8	82k	RESISTOR0603	0603-RES	"R7, R14, R21, R28, R35, R42, R49, R56"	Resistor			
1	CONN_16	CONN_16	CONNECTOR_16	SG_CONN				
1	CONN_2	CONN_2	CONNECTOR_2	PWR				
1	CONN_8	CONN_8	CONNECTOR_8	OUTPUTS				
2	FUSEX20MM	FUSEX20MM	FUSE_5MM	"5V_FUSE, 10V_FUSE"				
1	GREEN	LED-GREEN0603	LED-0603	D1	Various green LEDs	DIO-00821	GREEN	
1	LM2903TSSOP	LM2903TSSOP	TSSOP8	IC1	COMPARATOR			
8	LTC2053	LTC2053	MSOP8	"U1, U2, U3, U4, U5, U6, U7, U8"	DK: LTC2053CMS8#PBF-ND			
1	MMBT4401-7-F	MMBT4401-7-F	SOT-23-3	U$20				
1	MMBT4403-7-F	MMBT4403-7-F	SOT-23-3	Q6				
1	TC4S81FT5LFT-AND_GATE	TC4S81FT5LFT-AND_GATE	SSOP5-P-0.95	U$2	TC4S81FT5LFTCT-ND			
